Carrier,Activity,Data_Direction,LTE_Signal_Strength,Final_Test_Speed,Network_Types
A,Drive,Download,-86.66666667,54111.31316,LTE
A,Drive,Download,-88,8316.654272,LTE
A,Drive,Download,-89.33333333,8483.993072,LTE
A,Drive,Download,-61,39363.95864,LTE
A,Drive,Download,-88,6098.378905,LTE
A,Drive,Download,-86.5,13574.55625,LTE
A,Drive,Download,-89,11870.59389,LTE
A,Drive,Download,-87,19677.14502,LTE
A,Drive,Download,-89,9129.30302,LTE
A,Drive,Download,-88.66666667,11923.05433,LTE
A,Drive,Download,-99,3361.144247,LTE
A,Drive,Download,-91.66666667,7048.475493,LTE
A,Drive,Download,-75,48790.92887,LTE
A,Drive,Download,-90,21317.35156,LTE
A,Drive,Download,-96.33333333,16679.12645,LTE
A,Drive,Download,-86.5,22198.94085,LTE
A,Drive,Download,-89,16642.60629,LTE
A,Drive,Download,-73,47065.81084,LTE
A,Drive,Download,-58.33333333,56465.60192,LTE
A,Drive,Download,-86.5,18789.2053,LTE
A,Drive,Download,-102.5,3825.884732,LTE
A,Drive,Download,-81.5,37027.52665,LTE
A,Drive,Download,-85,31230.02731,LTE
A,Drive,Download,-95.5,6167.999319,LTE
A,Drive,Download,-83.5,19825.1642,LTE
A,Drive,Download,-81,15592.9859,LTE
A,Drive,Download,-95.5,1539.400754,LTE
A,Drive,Download,-84,27162.79521,LTE
A,Drive,Download,-89.5,6610.601139,LTE
A,Drive,Download,-98.33333333,3024.877716,LTE
A,Drive,Download,-89,4835.036403,LTE
A,Drive,Download,-90.5,7204.157009,LTE
A,Drive,Download,-109,779.5361609,LTE
A,Drive,Download,-89,4242.67279,LTE
A,Drive,Download,-98.33333333,961.8117843,LTE
A,Drive,Download,-105,570.8911712,LTE
A,Drive,Download,-88.66666667,10362.6264,LTE
A,Drive,Download,-90,8904.988492,LTE
A,Drive,Download,-87,17161.15593,LTE
A,Drive,Download,-69.66666667,24410.35171,LTE
A,Drive,Download,-96,1281.185382,LTE
A,Drive,Download,-79.33333333,15131.82478,LTE
A,Drive,Download,-83,8828.214585,LTE
A,Drive,Download,-81,40975.50329,LTE
A,Drive,Download,-85,12440.78189,LTE
A,Drive,Download,-88.33333333,15801.69441,LTE
A,Drive,Download,-90.5,2874.508642,LTE
A,Drive,Download,-91.66666667,19172.42584,LTE
A,Drive,Download,-67,2343.099358,LTE
A,Drive,Download,-97.66666667,1919.770407,LTE
A,Drive,Download,-94,8785.159353,LTE
A,Drive,Download,-89,17407.91615,LTE
A,Drive,Download,-87,16689.71127,LTE
A,Drive,Download,-83,8927.301173,LTE
A,Drive,Download,-87,12701.52742,LTE
A,Drive,Download,-100.3333333,766.6915332,LTE
A,Drive,Download,-80,5081.643501,LTE
A,Drive,Download,-65.66666667,8681.748596,LTE
A,Drive,Download,-73,57683.36398,LTE
A,Drive,Download,-99.33333333,15265.82516,LTE
A,Drive,Download,-67,72360.0605,LTE
A,Drive,Download,-61.66666667,56853.45763,LTE
